,f_rim,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_time,sim_u2,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
fr0.3_Tn0.60,0.3,0.05,0.05,0.025,0.025,fr0.3_Tn0.60,4.361775713743957e-09,2.1808878568719783e-09,2.1808878568719783e-09,0.0,4.715702017537642e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2178.302796318682,0.6,0.0029942831538970357,beam,36.0,0.0,200000000000.0,fr0.3_Tn0.60.pkl
fr0.3_Tn0.70,0.3,0.05,0.05,0.025,0.025,fr0.3_Tn0.70,4.361775713743957e-09,2.1808878568719783e-09,2.1808878568719783e-09,0.0,4.715702017537642e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2541.353262371795,0.7,0.0029942831538970357,beam,36.0,0.0,200000000000.0,fr0.3_Tn0.70.pkl
fr0.3_Tn0.80,0.3,0.05,0.05,0.025,0.025,fr0.3_Tn0.80,4.361775713743957e-09,2.1808878568719783e-09,2.1808878568719783e-09,0.0,4.715702017537642e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2904.4037284249093,0.8,0.0029942831538970357,beam,36.0,0.0,200000000000.0,fr0.3_Tn0.80.pkl
fr0.3_Tn0.90,0.3,0.05,0.05,0.025,0.025,fr0.3_Tn0.90,4.361775713743957e-09,2.1808878568719783e-09,2.1808878568719783e-09,0.0,4.715702017537642e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,3267.4541944780226,0.9,0.0029942831538970357,beam,36.0,0.0,200000000000.0,fr0.3_Tn0.90.pkl
fr0.4_Tn0.00,0.4,0.05,0.05,0.025,0.025,fr0.4_Tn0.00,5.658400372194748e-09,2.829200186097374e-09,2.829200186097374e-09,0.0,6.287602690050189e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,0.0,0.0,0.002772167528288224,beam,36.0,0.0,200000000000.0,fr0.4_Tn0.00.pkl
fr0.4_Tn0.10,0.4,0.05,0.05,0.025,0.025,fr0.4_Tn0.10,5.658400372194748e-09,2.829200186097374e-09,2.829200186097374e-09,0.0,6.287602690050189e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,401.47190312407156,0.1,0.002772167528288224,beam,36.0,0.0,200000000000.0,fr0.4_Tn0.10.pkl
fr0.4_Tn0.20,0.4,0.05,0.05,0.025,0.025,fr0.4_Tn0.20,5.658400372194748e-09,2.829200186097374e-09,2.829200186097374e-09,0.0,6.287602690050189e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,802.9438062481431,0.2,0.002772167528288224,beam,36.0,0.0,200000000000.0,fr0.4_Tn0.20.pkl
fr0.4_Tn0.30,0.4,0.05,0.05,0.025,0.025,fr0.4_Tn0.30,5.658400372194748e-09,2.829200186097374e-09,2.829200186097374e-09,0.0,6.287602690050189e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1204.4157093722145,0.3,0.002772167528288224,beam,36.0,0.0,200000000000.0,fr0.4_Tn0.30.pkl
fr0.4_Tn0.40,0.4,0.05,0.05,0.025,0.025,fr0.4_Tn0.40,5.658400372194748e-09,2.829200186097374e-09,2.829200186097374e-09,0.0,6.287602690050189e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1605.8876124962862,0.4,0.002772167528288224,beam,36.0,0.0,200000000000.0,fr0.4_Tn0.40.pkl
fr0.4_Tn0.50,0.4,0.05,0.05,0.025,0.025,fr0.4_Tn0.50,5.658400372194748e-09,2.829200186097374e-09,2.829200186097374e-09,0.0,6.287602690050189e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2007.3595156203576,0.5,0.002772167528288224,beam,36.0,0.0,200000000000.0,fr0.4_Tn0.50.pkl
