    	Node label->	           1	           4	           7	          10	          13	          16	          19	          22	          25	          28	          31	          34	          37	          40	          43	          46	          49	          52	          55	          58	          61	          64	          67	          70
    	Angle ->    	 3.33385e-09	 2.61798e-01	 5.23595e-01	 7.85398e-01	 1.04720e+00	 1.30900e+00	 1.57080e+00	 1.83259e+00	 2.09439e+00	 2.35619e+00	 2.61800e+00	 2.87979e+00	 3.14159e+00	 3.40339e+00	 3.66519e+00	 3.92699e+00	 4.18879e+00	 4.45059e+00	 4.71239e+00	 4.97419e+00	 5.23598e+00	 5.49779e+00	 5.75959e+00	 6.02139e+00
DOF 	DOF        
UR 1	3.000024e-01	-1.06688e-06	-2.18628e-03	-4.17304e-03	-6.07124e-03	-7.19290e-03	-7.47441e-03	-7.27869e-03	-6.39224e-03	-5.20963e-03	-3.75448e-03	-2.41241e-03	-1.13997e-03	 1.83031e-07	 1.14035e-03	 2.41278e-03	 3.75480e-03	 5.20989e-03	 6.39240e-03	 7.27858e-03	 7.47410e-03	 7.19235e-03	 6.07019e-03	 4.17154e-03	 2.18437e-03
UR 2	3.000024e-01	 2.11775e-07	-1.94423e-02	-1.19500e-02	-1.64367e-04	 3.64870e-03	 2.51565e-03	 1.90961e-03	 1.35579e-03	 1.07210e-03	 9.17819e-04	 5.13526e-04	 3.24109e-04	-1.14286e-08	-3.24132e-04	-5.13529e-04	-9.17834e-04	-1.07210e-03	-1.35580e-03	-1.90964e-03	-2.51560e-03	-3.64878e-03	 1.64429e-04	 1.19502e-02	 1.94420e-02
U  0	4.000000e-01	 0.00000e+00	 1.70119e-04	 7.76273e-04	 1.11007e-03	 8.63620e-04	 5.48406e-04	 3.29474e-04	 1.44085e-04	 5.99066e-05	-1.59408e-05	-3.43144e-05	-2.40445e-05	 2.23217e-08	 2.40880e-05	 3.43526e-05	 1.59758e-05	-5.98846e-05	-1.44071e-04	-3.29469e-04	-5.48430e-04	-8.63617e-04	-1.11008e-03	-7.76284e-04	-1.70106e-04
U  1	4.000000e-01	 4.00162e-03	 2.68933e-03	 1.03622e-03	 4.75999e-04	 5.91979e-04	 6.81411e-04	 6.78135e-04	 6.25983e-04	 5.61435e-04	 4.66669e-04	 3.96415e-04	 3.46602e-04	 3.20149e-04	 3.46611e-04	 3.96439e-04	 4.66695e-04	 5.61474e-04	 6.26025e-04	 6.78180e-04	 6.81456e-04	 5.92027e-04	 4.76051e-04	 1.03631e-03	 2.68938e-03
U  2	4.000000e-01	-6.63168e-03	-6.15060e-03	-4.85431e-03	-3.08817e-03	-1.30814e-03	 6.93470e-05	 9.07431e-04	 1.18257e-03	 1.03925e-03	 6.32934e-04	 1.84184e-04	-1.68743e-04	-2.90140e-04	-1.68627e-04	 1.84398e-04	 6.33248e-04	 1.03951e-03	 1.18273e-03	 9.07388e-04	 6.90706e-05	-1.30866e-03	-3.08881e-03	-4.85501e-03	-6.15102e-03
UR 0	4.000000e-01	 3.00699e-02	 2.85757e-02	 2.49629e-02	 2.04051e-02	 1.52157e-02	 1.06117e-02	 6.97592e-03	 4.09837e-03	 1.70685e-03	-4.65699e-04	-2.18488e-03	-3.47801e-03	-3.83892e-03	-3.47760e-03	-2.18406e-03	-4.64492e-04	 1.70847e-03	 4.10051e-03	 6.97892e-03	 1.06153e-02	 1.52202e-02	 2.04109e-02	 2.49706e-02	 2.85838e-02
UR 1	4.000000e-01	-3.56041e-06	-4.95806e-03	-9.27505e-03	-1.29254e-02	-1.50435e-02	-1.55915e-02	-1.50580e-02	-1.32350e-02	-1.07400e-02	-7.76398e-03	-4.96536e-03	-2.35578e-03	 7.60472e-07	 2.35731e-03	 4.96697e-03	 7.76548e-03	 1.07414e-02	 1.32360e-02	 1.50583e-02	 1.55905e-02	 1.50414e-02	 1.29214e-02	 9.26943e-03	 4.95091e-03
UR 2	4.000000e-01	-2.60908e-07	-2.48346e-02	-1.63252e-02	-8.30754e-04	 4.91117e-03	 3.21932e-03	 2.56516e-03	 1.81683e-03	 1.36433e-03	 1.28770e-03	 6.17660e-04	 4.62282e-04	-5.66773e-08	-4.62458e-04	-6.17782e-04	-1.28784e-03	-1.36448e-03	-1.81687e-03	-2.56539e-03	-3.21936e-03	-4.91147e-03	 8.31049e-04	 1.63259e-02	 2.48334e-02
U  0	5.000000e-01	 0.00000e+00	 1.92671e-04	 9.10031e-04	 1.35857e-03	 1.05244e-03	 6.52806e-04	 3.97642e-04	 1.52550e-04	 6.91075e-05	-2.56473e-05	-4.38959e-05	-2.75396e-05	 1.68077e-08	 2.75723e-05	 4.39248e-05	 2.56739e-05	-6.90894e-05	-1.52541e-04	-3.97633e-04	-6.52821e-04	-1.05242e-03	-1.35857e-03	-9.10058e-04	-1.92659e-04
U  1	5.000000e-01	 4.99843e-03	 3.46421e-03	 1.43880e-03	 6.35758e-04	 7.32884e-04	 8.26257e-04	 8.14131e-04	 7.48314e-04	 6.77724e-04	 5.56727e-04	 4.72315e-04	 4.16542e-04	 3.74853e-04	 4.16551e-04	 4.72336e-04	 5.56745e-04	 6.77752e-04	 7.48345e-04	 8.14164e-04	 8.26290e-04	 7.32919e-04	 6.35805e-04	 1.43887e-03	 3.46422e-03
