    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71	          73	          75	          77	          79
    	Angle ->    	 3.33333e-09	 1.57077e-01	 3.14156e-01	 4.71250e-01	 6.28321e-01	 7.85398e-01	 9.42475e-01	 1.09955e+00	 1.25664e+00	 1.41372e+00	 1.57080e+00	 1.72787e+00	 1.88495e+00	 2.04205e+00	 2.19912e+00	 2.35619e+00	 2.51327e+00	 2.67034e+00	 2.82744e+00	 2.98452e+00	 3.14159e+00	 3.29867e+00	 3.45575e+00	 3.61284e+00	 3.76991e+00	 3.92699e+00	 4.08407e+00	 4.24114e+00	 4.39823e+00	 4.55531e+00	 4.71239e+00	 4.86947e+00	 5.02654e+00	 5.18364e+00	 5.34071e+00	 5.49779e+00	 5.65486e+00	 5.81194e+00	 5.96903e+00	 6.12611e+00
DOF 	DOF        
U  0	3.000022e-01	 0.00000e+00	 2.55228e-05	 2.16478e-04	 5.01014e-04	 7.05232e-04	 7.36423e-04	 6.40767e-04	 5.05796e-04	 3.79479e-04	 2.75290e-04	 1.89843e-04	 1.18187e-04	 5.91948e-05	 1.25192e-05	-2.06480e-05	-4.09643e-05	-4.89915e-05	-4.66004e-05	-3.58907e-05	-1.94096e-05	-1.17100e-08	 1.93862e-05	 3.58685e-05	 4.65799e-05	 4.89727e-05	 4.09475e-05	 2.06346e-05	-1.25303e-05	-5.92011e-05	-1.18190e-04	-1.89844e-04	-2.75289e-04	-3.79468e-04	-5.05780e-04	-6.40744e-04	-7.36423e-04	-7.05234e-04	-5.01025e-04	-2.16485e-04	-2.55235e-05
U  1	3.000022e-01	 2.99818e-03	 2.50620e-03	 1.59072e-03	 8.24702e-04	 4.39855e-04	 3.67599e-04	 4.21357e-04	 4.80464e-04	 5.11430e-04	 5.16169e-04	 5.03042e-04	 4.77525e-04	 4.42966e-04	 4.02170e-04	 3.58627e-04	 3.15229e-04	 2.75380e-04	 2.41411e-04	 2.15589e-04	 1.99532e-04	 1.93984e-04	 1.99514e-04	 2.15584e-04	 2.41400e-04	 2.75360e-04	 3.15214e-04	 3.58606e-04	 4.02149e-04	 4.42944e-04	 4.77501e-04	 5.03019e-04	 5.16145e-04	 5.11407e-04	 4.80444e-04	 4.21336e-04	 3.67575e-04	 4.39812e-04	 8.24652e-04	 1.59073e-03	 2.50621e-03
U  2	3.000022e-01	-2.10029e-04	-2.04084e-04	-1.89190e-04	-1.66256e-04	-1.39771e-04	-1.09675e-04	-7.22521e-05	-4.32386e-05	-1.63400e-05	 2.96364e-07	 1.35157e-05	 1.76257e-05	 2.05707e-05	 1.69954e-05	 1.48601e-05	 8.47229e-06	 5.39745e-06	-6.20304e-07	-2.23969e-06	-5.99839e-06	-5.01236e-06	-6.01735e-06	-2.25958e-06	-6.64193e-07	 5.36663e-06	 8.38518e-06	 1.47768e-05	 1.68949e-05	 2.04616e-05	 1.75199e-05	 1.34357e-05	 2.85319e-07	-1.62546e-05	-4.30412e-05	-7.19100e-05	-1.09289e-04	-1.39122e-04	-1.65712e-04	-1.88640e-04	-2.03746e-04
UR 0	3.000022e-01	 1.87573e-03	 1.64375e-03	 1.40563e-03	 1.15867e-03	 9.40053e-04	 8.58599e-04	 6.74652e-04	 5.05124e-04	 3.69233e-04	 2.61279e-04	 1.80714e-04	 1.24789e-04	 9.00964e-05	 5.48072e-05	 4.30049e-05	 1.24210e-05	 1.21117e-05	-1.63084e-05	-7.31850e-06	-3.13868e-05	-1.40368e-05	-3.13497e-05	-7.24080e-06	-1.61930e-05	 1.22557e-05	 1.25592e-05	 4.31132e-05	 5.48352e-05	 8.99506e-05	 1.24331e-04	 1.79744e-04	 2.59539e-04	 3.66424e-04	 5.00888e-04	 6.68673e-04	 8.50594e-04	 9.29749e-04	 1.14637e-03	 1.39260e-03	 1.62960e-03
UR 1	3.000022e-01	 3.89361e-06	 1.01045e-05	 1.77563e-05	-2.22883e-05	-4.43512e-05	-1.88706e-04	-2.99027e-04	-3.18532e-04	-3.71862e-04	-3.63152e-04	-3.73194e-04	-3.29459e-04	-3.11067e-04	-2.48700e-04	-2.18270e-04	-1.58329e-04	-1.29558e-04	-8.31105e-05	-5.85108e-05	-2.54248e-05	-1.14800e-07	 2.51855e-05	 5.82344e-05	 8.27811e-05	 1.29158e-04	 1.57878e-04	 2.17785e-04	 2.48222e-04	 3.10681e-04	 3.29279e-04	 3.73364e-04	 3.63818e-04	 3.73167e-04	 3.20613e-04	 3.01993e-04	 1.92687e-04	 4.96118e-05	 2.88673e-05	-1.05680e-05	-1.68980e-06
UR 2	3.000022e-01	-1.24270e-07	-1.72379e-02	-1.98391e-02	-1.36439e-02	-5.04345e-03	 8.75823e-04	 2.98699e-03	 2.99418e-03	 2.44628e-03	 1.95467e-03	 1.65983e-03	 1.47052e-03	 1.31929e-03	 1.16795e-03	 1.00661e-03	 8.41896e-04	 6.71064e-04	 5.04784e-04	 3.34702e-04	 1.67444e-04	 4.10470e-08	-1.67367e-04	-3.34632e-04	-5.04696e-04	-6.70979e-04	-8.41813e-04	-1.00653e-03	-1.16785e-03	-1.31922e-03	-1.47045e-03	-1.65973e-03	-1.95461e-03	-2.44617e-03	-2.99414e-03	-2.98705e-03	-8.76196e-04	 5.04301e-03	 1.36441e-02	 1.98395e-02	 1.72385e-02
U  0	4.000005e-01	 0.00000e+00	 3.18343e-05	 2.80234e-04	 6.57037e-04	 9.33757e-04	 9.80994e-04	 8.55458e-04	 6.75453e-04	 5.06301e-04	 3.66817e-04	 2.52939e-04	 1.57280e-04	 7.88557e-05	 1.65580e-05	-2.75648e-05	-5.46684e-05	-6.53475e-05	-6.21342e-05	-4.78578e-05	-2.58613e-05	 6.23913e-09	 2.58735e-05	 4.78702e-05	 6.21460e-05	 6.53578e-05	 5.46770e-05	 2.75731e-05	-1.65524e-05	-7.88496e-05	-1.57278e-04	-2.52938e-04	-3.66823e-04	-5.06300e-04	-6.75447e-04	-8.55468e-04	-9.81046e-04	-9.33789e-04	-6.57063e-04	-2.80229e-04	-3.18306e-05
U  1	4.000005e-01	 3.99680e-03	 3.35119e-03	 2.14196e-03	 1.11765e-03	 5.95429e-04	 4.92018e-04	 5.61847e-04	 6.40501e-04	 6.81967e-04	 6.88360e-04	 6.70810e-04	 6.36744e-04	 5.90691e-04	 5.36242e-04	 4.78223e-04	 4.20318e-04	 3.67192e-04	 3.21918e-04	 2.87455e-04	 2.66101e-04	 2.58647e-04	 2.66084e-04	 2.87460e-04	 3.21926e-04	 3.67195e-04	 4.20331e-04	 4.78230e-04	 5.36253e-04	 5.90705e-04	 6.36755e-04	 6.70823e-04	 6.88372e-04	 6.81978e-04	 6.40512e-04	 5.61852e-04	 4.92020e-04	 5.95416e-04	 1.11766e-03	 2.14214e-03	 3.35120e-03
U  2	4.000005e-01	-4.24675e-04	-4.13070e-04	-3.80793e-04	-3.30435e-04	-2.69513e-04	-2.01936e-04	-1.26863e-04	-6.77949e-05	-1.72697e-05	 1.40009e-05	 3.58267e-05	 4.17222e-05	 4.34738e-05	 3.50025e-05	 2.78498e-05	 1.51136e-05	 7.30433e-06	-3.68404e-06	-7.97775e-06	-1.42882e-05	-1.33922e-05	-1.43078e-05	-8.00927e-06	-3.75049e-06	 7.22773e-06	 1.49800e-05	 2.77058e-05	 3.48169e-05	 4.32631e-05	 4.15090e-05	 3.56739e-05	 1.39620e-05	-1.71408e-05	-6.74809e-05	-1.26326e-04	-2.01176e-04	-2.68335e-04	-3.29358e-04	-3.79800e-04	-4.12412e-04
UR 0	4.000005e-01	 3.02943e-03	 2.75231e-03	 2.43478e-03	 2.06901e-03	 1.72662e-03	 1.54230e-03	 1.20224e-03	 8.87416e-04	 6.32665e-04	 4.32974e-04	 2.87029e-04	 1.87295e-04	 1.24992e-04	 6.71757e-05	 4.32519e-05	-4.90624e-06	-1.22874e-05	-5.66548e-05	-4.98686e-05	-8.54895e-05	-6.34701e-05	-8.53955e-05	-4.96875e-05	-5.64086e-05	-1.19949e-05	-4.60879e-06	 4.34980e-05	 6.72790e-05	 1.24789e-04	 1.86539e-04	 2.85385e-04	 4.30035e-04	 6.27893e-04	 8.80255e-04	 1.19212e-03	 1.52882e-03	 1.70939e-03	 2.04845e-03	 2.41086e-03	 2.72935e-03
