(lb)	(in)
-25.59579376	-0.1406
-25.49597846	-0.1396
-25.37619953	-0.1394
-25.26307443	-0.1387
-25.18655003	-0.1385
-25.00688163	-0.1376
-24.92702853	-0.1368
-24.82388667	-0.1364
-24.72074267	-0.1349
-24.6042903	-0.1353
-24.48783864	-0.1336
-24.40798697	-0.1336
-24.31482621	-0.1322
-24.19837384	-0.132
-24.0785949	-0.1315
-23.93885234	-0.1313
-23.83903704	-0.1294
-23.68265812	-0.1292
-23.57618899	-0.1279
-23.49966245	-0.128
-23.38653948	-0.1276
-23.28006822	-0.126
-23.16028929	-0.1255
-23.03385652	-0.1258
-22.98727543	-0.125
-22.83755177	-0.1243
-22.68450083	-0.1229
-22.58135896	-0.1228
-22.49485133	-0.1217
-22.41499823	-0.1212
-22.23200327	-0.1208
-22.16213057	-0.1202
-22.06896981	-0.1201
-21.94919088	-0.1186
-21.84272174	-0.1178
-21.71628827	-0.1173
-21.61314427	-0.1169
-21.46342061	-0.1155
-21.37025985	-0.1144
-21.29706059	-0.1148
-21.18393762	-0.1136
-21.06083141	-0.1134
-20.96434125	-0.112
-20.88449029	-0.1117
-20.73143935	-0.1118
-20.61831425	-0.1108
-20.5118437	-0.1105
-20.37875639	-0.1085
-20.24899493	-0.1088
-20.17912436	-0.107
-20.0759825	-0.1069
-19.96951123	-0.1062
-19.8108374	-0.105
-19.72599517	-0.1053
-19.64946935	-0.1047
-19.50307224	-0.1038
-19.3616664	-0.1043
-19.26850493	-0.1024
-19.13874489	-0.1013
-19.05057469	-0.1008
-18.9457667	-0.1008
-18.84262484	-0.0988
-18.73449029	-0.0998
-18.62802115	-0.0983
-18.51822333	-0.0976
-18.39345384	-0.0969
-18.26203052	-0.097
-18.17885016	-0.0958
-18.06073451	-0.0951
-17.94594613	-0.0947
-17.80620357	-0.0937
-17.73966027	-0.0928
-17.6132275	-0.0928
-17.4901213	-0.092
-17.38365074	-0.0916
-17.27385291	-0.0901
-17.14741944	-0.089
-17.06756634	-0.0887
-16.9294892	-0.0883
-16.80804698	-0.0882
-16.69658516	-0.0868
-16.62837859	-0.086
-16.47699093	-0.0856
-16.37717421	-0.0853
-16.29732253	-0.0844
-16.14593559	-0.0847
-16.05776467	-0.0825
-15.92467594	-0.0821
-15.83816901	-0.0818
-15.73835371	-0.0816
-15.60360312	-0.0799
-15.50877695	-0.079
-15.38567074	-0.0798
-15.22929325	-0.0783
-15.1544307	-0.0779
-15.04796157	-0.0773
-14.93816374	-0.0762
-14.81006699	-0.0763
-14.66034332	-0.0752
-14.5838175	-0.0749
-14.49232002	-0.0738
-14.36755053	-0.0736
-14.26939851	-0.0733
-14.14961958	-0.0716
-14.08640213	-0.0715
-13.94000645	-0.0711
-13.80525515	-0.0693
-13.72706533	-0.0698
-13.60229585	-0.0687
-13.49416272	-0.0684
-13.36772854	-0.0671
-13.24462305	-0.066
-13.16144268	-0.0658
-13.05830082	-0.0646
-12.93852188	-0.0645
-12.83870516	-0.063
-12.74221642	-0.0636
-12.56753928	-0.0629
-12.47770508	-0.0616
-12.37788907	-0.0611
-12.28639159	-0.0608
-12.12834939	-0.0595
-12.06346937	-0.0586
-11.94868099	-0.059
-11.80893914	-0.0576
-11.69248748	-0.0576
-11.6109704	-0.0566
-11.4662387	-0.056
-11.32483215	-0.055
-11.22002559	-0.0548
-11.15015502	-0.0536
-11.06198481	-0.0538
-10.92556952	-0.0527
-10.82409022	-0.0516
-10.73425603	-0.0518
-10.58453236	-0.0512
-10.47307125	-0.0505
-10.35329232	-0.0498
-10.26678539	-0.0487
-10.16031484	-0.0478
-9.98397442	-0.0479
-9.931221216	-0.047
-9.819760818	-0.0463
-9.691663352	-0.0449
-9.584361511	-0.0451
-9.460424022	-0.0447
-9.34064509	-0.0431
-9.256632728	-0.0422
-9.135190516	-0.0417
-9.024560692	-0.0408
-8.946371588	-0.041
-8.798311914	-0.0402
-8.670215159	-0.0395
-8.577054399	-0.0378
-8.453115489	-0.0378
-8.341655091	-0.0371
-8.233521254	-0.0365
-8.147846322	-0.0359
-8.060507399	-0.0349
-7.9473823	-0.0333
-7.813462997	-0.0335
-7.703665879	-0.0333
-7.563092033	-0.0328
-7.441649821	-0.0313
-7.378432373	-0.0308
-7.256158165	-0.0313
-7.119743586	-0.0293
-7.019927572	-0.0289
-6.90014864	-0.0288
-6.786192256	-0.0281
-6.687208238	-0.0271
-6.579074401	-0.0273
-6.441827826	-0.0254
-6.332862704	-0.0258
-6.233878686	-0.0242
-6.098295392	-0.0241
-6.010956469	-0.0223
-5.875373175	-0.0233
-5.797184071	-0.0211
-5.646629121	-0.0207
-5.555130931	-0.0205
-5.43701599	-0.0197
-5.332208714	-0.0185
-5.209103221	-0.0187
-5.098473398	-0.0177
-5.012798466	-0.0177
-4.868897348	-0.0165
-4.748286421	-0.0164
-4.670098027	-0.0152
-4.5494871	-0.014
-4.40059543	-0.0134
-4.320742335	-0.0137
-4.20512267	-0.0127
-4.095325553	-0.0111
-3.989686992	-0.0112
-3.845785164	-0.0106
-3.749297132	-0.0107
-3.61704111	-0.01
-3.527206911	-0.0084
-3.425727617	-0.0077
-3.304285404	-0.0071
-3.172861377	-0.0061
-3.040605355	-0.0054
-2.949107165	-0.0046
-2.850955142	-0.0044
-2.717867124	-0.0036
-2.53404017	-0.0033
-2.398456876	-0.0022
-2.286995767	-0.0015
-2.154739745	-0.0005
-2.059914994	0.0003
-1.950117876	0.0008
-1.944294618	0.0003
-1.950117876	0.0012
-1.940136062	0.0003
-1.93680879	0.0007
-1.939304066	1E-04
-1.952613152	1E-04
-1.942631338	0.0009
-1.943463333	0.0009
-1.93680879	0.0007
-1.954276433	0.0008
-1.946790605	0
-1.961762971	0.0008
-1.946790605	0.0003
-1.957603704	0.0009
-1.953445148	-0.0005
-1.962594256	0.0008
-1.949285881	0
-1.960930976	-0.0002
-1.945958609	0.0004
-1.949285881	0.0008
-1.951781157	0.0008
-1.938472781	0.0008
-1.938472781	0.0011
-1.985884446	0.0003
-1.934313514	0.0006
-1.955108428	0.0009
-1.938472781	0.0009
-1.941799342	0.0004
-1.939304066	0.0007
-1.957603704	0.0005
-1.952613152	0.0008
-1.946790605	0.0003
-1.945958609	0.0006
-1.951781157	-0.0002
-1.950117876	0.0003
-1.923500415	0.0003
-1.930154247	0.0007
-1.952613152	0.0003
-1.940968057	0.0005
-1.962594256	0.0003
-1.950949161	0.0005
-1.96009898	0.0011
-1.957603704	0.001
-1.9584357	-0.0005
-1.956771709	0
-1.957603704	-1E-04
-1.952613152	0.001
-1.953445148	0.0006
-1.959267695	0.0011
-1.965921528	0.0006
-1.941799342	0.0006
-1.980894605	0.0006
-1.952613152	0.0003
-1.949285881	-0.0003
-1.953445148	0.0007
-1.940968057	0.0006
-1.959267695	0.0007
-1.950949161	0.0004
-1.920173143	0.0004
-1.967585519	0.0006
-1.966753523	0.001
-1.952613152	0.0011
-1.957603704	-0.0004
-1.964258247	0.0005
-1.956771709	0.0009
-1.928490967	0
-1.917677157	0.0006
-1.950117876	0.0009
-1.950949161	-0.0003
-1.961762971	0
-1.959267695	0.0003
-1.962594256	0
-1.941799342	0.0008
-1.959267695	0.0003
-1.943463333	-0.0002
-1.943463333	0.001
-1.952613152	0.0005
-1.949285881	0.0003
-1.959267695	0.0006
-1.965090243	0.0012
-1.966753523	0.0012
-1.952613152	0.0004
-1.962594256	0.0012
-1.967585519	0.0003
-1.965921528	0.0005
-1.952613152	0.0007
-1.949285881	0.0012
-1.950117876	0.0003
-1.944294618	0.0009
-1.950117876	0.0008
-1.959267695	0.0003
-1.943463333	0.0009
-1.959267695	0.0003
-1.937640786	0.0006
-1.945958609	0.0006
-1.957603704	0.0003
-1.959267695	0.0011
-1.949285881	-1E-04
-1.966753523	0.0003
-1.959267695	0.0008
-1.956771709	0.0003
-1.959267695	0.0003
-1.937640786	0.0009
-1.952613152	0.0005
-1.952613152	0.0004
-1.945958609	0
-1.946790605	0.0006
-1.955939713	0.0006
-1.962594256	0.0004
-1.945958609	0.0008
