Load	Displacement
(lb)	(in)
-37.94966083	-0.1995
-37.96629576	-0.1995
-37.99291536	-0.1994
-37.95964193	-0.1991
-37.92304479	-0.1993
-37.94633427	-0.1998
-37.95631537	-0.1996
-37.90973357	-0.1997
-37.93302589	-0.1989
-37.97960769	-0.1991
-37.9629692	-0.1992
-37.95964193	-0.1993
-37.92969933	-0.1994
-37.94300699	-0.1995
-37.94633427	-0.1996
-37.98293425	-0.1997
-37.91306084	-0.1992
-37.93302589	-0.2
-37.93635316	-0.1996
-37.93302589	-0.1996
-37.91639095	-0.1996
-37.91639095	-0.1993
-37.96962303	-0.1997
-37.95964193	-0.1995
-37.91639095	-0.1994
-37.90307974	-0.1997
-37.93302589	-0.1993
-37.93635316	-0.1997
-37.97628042	-0.2
-37.93302589	-0.2
-37.94633427	-0.1996
-37.91971822	-0.1994
-37.93635316	-0.1995
-37.9529881	-0.1996
-37.96962303	-0.1993
-37.94966083	-0.1996
-37.95964193	-0.1994
-37.93967972	-0.1998
-37.93635316	-0.199
-37.93967972	-0.1993
-37.94300699	-0.1993
-37.92969933	-0.1993
-37.92969933	-0.2
-37.92969933	-0.1995
-37.88311753	-0.1995
-37.95631537	-0.1997
-37.94966083	-0.1995
-37.92637206	-0.1998
-37.97628042	-0.1995
-37.97295031	-0.1994
-37.95631537	-0.1995
-37.91639095	-0.1997
-37.93635316	-0.1992
-37.90307974	-0.2
-37.94633427	-0.1992
-37.95964193	-0.1994
-37.95964193	-0.1994
-37.94966083	-0.1996
-37.94633427	-0.1994
-37.93635316	-0.1993
-37.93967972	-0.1998
-37.93635316	-0.1995
-37.88311753	-0.1996
-37.97628042	-0.1995
-37.94966083	-0.1996
-37.96629576	-0.1995
-37.94300699	-0.1996
-37.8964259	-0.1995
-37.9529881	-0.1993
-37.94633427	-0.1997
-37.93635316	-0.1995
-37.94633427	-0.1993
-37.93967972	-0.1992
-37.9064063	-0.1994
-37.94300699	-0.1993
-37.92969933	-0.1996
-37.98626152	-0.1995
-37.94633427	-0.1998
-37.95964193	-0.1998
-37.95631537	-0.1994
-37.96629576	-0.1993
-37.88311753	-0.1997
-37.94966083	-0.1992
-37.94633427	-0.1998
-37.9064063	-0.1991
-37.93967972	-0.1995
-37.91971822	-0.1998
-37.9529881	-0.1995
-37.93302589	-0.1996
-37.95964193	-0.1995
-37.94300699	-0.1996
-37.94633427	-0.1997
-37.93302589	-0.1993
-37.91971822	-0.1996
-37.94300699	-0.1995
-37.92969933	-0.1994
-37.94633427	-0.1996
-37.93635316	-0.1996
-37.94633427	-0.1995
-37.8864448	-0.1994
-37.95964193	-0.1996
-37.92969933	-0.1995
-37.92304479	-0.1996
-37.90973357	-0.1991
-37.9629692	-0.1994
-37.93302589	-0.1995
-37.93302589	-0.1994
-37.93302589	-0.1996
-37.88977136	-0.1999
-37.93302589	-0.2
-37.95631537	-0.1994
-37.94633427	-0.1994
-37.93635316	-0.1996
-37.93967972	-0.1992
-37.93302589	-0.1989
-37.93302589	-0.1996
-37.9629692	-0.1993
-37.90307974	-0.1996
-37.91971822	-0.2002
-37.90307974	-0.1997
-37.91971822	-0.1998
-37.93635316	-0.1998
-37.93635316	-0.1997
-37.90973357	-0.1994
-37.94966083	-0.1991
-37.91306084	-0.1996
-37.94966083	-0.1996
-37.95964193	-0.1995
-37.92304479	-0.1995
-37.91971822	-0.1995
-37.93635316	-0.1997
-37.94633427	-0.1995
-37.92304479	-0.1991
-37.90973357	-0.1996
-37.93302589	-0.1995
-37.92969933	-0.1996
-37.92969933	-0.1992
-37.96629576	-0.1996
-37.90307974	-0.1996
-37.88311753	-0.199
-37.88977136	-0.2
-37.90973357	-0.1998
-37.9529881	-0.1995
-37.94300699	-0.1994
-37.95964193	-0.1992
-37.92969933	-0.2
-37.9629692	-0.1995
-37.95964193	-0.1998
-37.95964193	-0.1998
-37.9529881	-0.1996
-37.93302589	-0.1998
-37.92304479	-0.1992
