Load	Displacement
(lb)	(in)
-73.66877511	-0.1512
-73.82182392	-0.1503
-73.70204498	-0.1495
-73.70204498	-0.1498
-73.76193161	-0.1522
-73.64880651	-0.1504
-73.69539115	-0.1498
-73.76858544	-0.1505
-73.70204498	-0.1503
-73.7419694	-0.1498
-73.66877511	-0.1515
-73.76858544	-0.1503
-73.72866102	-0.1509
-73.79520859	-0.1505
-73.69539115	-0.1498
-73.72866102	-0.1515
-73.7419694	-0.1522
-73.59557443	-0.1515
-73.71535336	-0.15
-73.75527706	-0.1523
-73.71535336	-0.1527
-73.72866102	-0.1519
-73.66877511	-0.1519
-73.70869953	-0.152
-73.71535336	-0.1529
-73.72200719	-0.1532
-73.82182392	-0.1505
-73.77524638	-0.1514
-73.58892059	-0.1505
-73.66212128	-0.1517
-73.52237374	-0.1502
-73.64215268	-0.1522
-73.69539115	-0.1517
-73.69539115	-0.1522
-73.79520859	-0.1532
-73.66877511	-0.1512
-73.7419694	-0.1505
-73.72200719	-0.1498
-73.79520859	-0.1532
-73.71535336	-0.1517
-73.78855404	-0.1503
-73.7419694	-0.1533
-73.70204498	-0.1509
-73.66212128	-0.152
-73.74862323	-0.1519
-73.77524638	-0.1507
-73.70204498	-0.1519
-73.6288443	-0.1517
-73.68208349	-0.1532
-73.76858544	-0.1515
-73.71535336	-0.152
-73.68873732	-0.15
-73.68873732	-0.1522
-73.61553663	-0.1502
-73.62219047	-0.1527
-73.79520859	-0.1498
-73.6288443	-0.1503
-73.68873732	-0.1519
-73.66877511	-0.15
-73.66877511	-0.1514
-73.7419694	-0.1504
-73.72866102	-0.1517
-73.71535336	-0.151
-73.72200719	-0.1508
-73.66212128	-0.1498
-73.70869953	-0.1514
-73.68873732	-0.1517
-73.64215268	-0.1503
-73.76858544	-0.1517
-73.66212128	-0.1527
-73.75527706	-0.1503
-73.70204498	-0.1517
-73.68873732	-0.1509
-73.53568851	-0.1502
-73.78855404	-0.1508
-73.68873732	-0.1514
-73.67542965	-0.1515
-73.56230455	-0.151
-73.62219047	-0.1513
-73.71535336	-0.1495
-73.52237374	-0.1514
-73.68873732	-0.1502
-73.68208349	-0.1522
-73.6288443	-0.1508
-73.67542965	-0.1505
-73.66877511	-0.1523
-73.30943831	-0.1509
-72.84363096	-0.1492
-72.53087241	-0.1492
-71.99852461	-0.1477
-71.43289982	-0.1482
-70.89389107	-0.1472
-70.33492722	-0.1474
-69.77595698	-0.1457
-69.29684125	-0.1454
-68.57816766	-0.1443
-68.00588904	-0.1429
-67.54673552	-0.1408
-67.16078268	-0.1412
-66.71493683	-0.1412
-66.19589739	-0.1399
-65.75005154	-0.1397
-64.90494518	-0.1374
-64.48572247	-0.1374
-64.01326058	-0.1364
-63.39440442	-0.1359
-63.1082612	-0.1349
-62.66907628	-0.1349
-61.9703649	-0.1337
-61.84393214	-0.1337
-61.56444346	-0.1339
-61.18514446	-0.1337
-60.75261408	-0.1317
-60.36000031	-0.1295
-59.72118123	-0.1302
-59.34853677	-0.1307
-58.90269092	-0.1283
-58.62986318	-0.1286
-58.03096497	-0.1273
-57.73817573	-0.1266
-56.85314141	-0.1241
-56.42060393	-0.1233
-56.16108386	-0.1249
-55.78178485	-0.122
-55.26274187	-0.1214
-54.68380941	-0.1216
-54.18473148	-0.12
-53.77215976	-0.1201
-53.28638949	-0.1179
-52.8804716	-0.1194
-52.6608795	-0.1176
-51.98212961	-0.1176
-51.59617678	-0.1148
-51.097096	-0.1158
-50.63129149	-0.114
-50.1122485	-0.113
-49.99246957	-0.1129
-49.38026724	-0.1125
-49.21390651	-0.1133
-48.74809916	-0.1098
-48.48857909	-0.1106
-47.9229543	-0.1094
-47.37064144	-0.1096
-47.08450178	-0.1083
-46.69189511	-0.1061
-46.34586669	-0.1055
-46.05972702	-0.1068
-45.57395746	-0.104
-45.2212745	-0.1045
-44.76877481	-0.1035
-44.19649974	-0.1008
-43.75065389	-0.1016
-43.53106178	-0.1009
-43.0785621	-0.1006
-42.8323504	-0.1003
-42.46635977	-0.1006
-42.08040338	-0.0973
-41.71441275	-0.0979
-41.42827309	-0.0961
-40.91588749	-0.0991
-40.77614635	-0.0966
-40.30368516	-0.0941
-40.03581103	-0.0933
-39.37702691	-0.0938
-39.14412359	-0.0913
-38.79809445	-0.0915
-38.42212272	-0.0921
-37.98958879	-0.089
-37.64688694	-0.0916
-37.01471885	-0.0893
-36.68532821	-0.0896
-36.45907872	-0.0876
-36.08643355	-0.0864
-35.90011132	-0.0856
-35.17811116	-0.0856
-34.92524137	-0.0841
-34.52598087	-0.0828
-34.25980341	-0.0815
-33.93374004	-0.0826
-33.49455228	-0.0805
-33.04870643	-0.0791
-32.6827158	-0.0806
-32.26348954	-0.0778
-32.00396947	-0.0776
-31.72781091	-0.0761
-31.36847411	-0.0763
-31.00248348	-0.0749
-30.87937799	-0.0737
-30.3503539	-0.0727
-29.78472911	-0.0714
-29.63833414	-0.0729
-29.37548751	-0.0707
-28.99285768	-0.0714
-28.73666488	-0.0696
-28.41392736	-0.0709
-28.09784296	-0.0694
-27.72187123	-0.0681
-27.11632131	-0.0686
-26.92999837	-0.0659
-26.54071684	-0.0664
-26.26123385	-0.0644
-26.07491091	-0.0656
-25.73220905	-0.0627
-25.1000431	-0.0636
-25.15660529	-0.0631
-24.74736013	-0.0625
-24.35807861	-0.0587
-24.05197744	-0.0612
-23.61278755	-0.0585
-23.35992202	-0.0586
-23.22683329	-0.0592
-22.54808554	-0.0581
-22.35843604	-0.0542
-22.05566144	-0.0556
-21.64641628	-0.0537
-21.51000241	-0.0536
-21.21388235	-0.0535
-21.05417545	-0.0534
-20.63494919	-0.0519
-20.1525069	-0.0497
-19.86240904	-0.0514
-19.52303587	-0.0511
-19.26018782	-0.0484
-18.73948226	-0.0459
-18.41840802	-0.0476
-18.18051344	-0.0446
-17.9259825	-0.0441
-17.71470609	-0.0441
-17.2988071	-0.0444
-17.1074936	-0.0412
-16.48364476	-0.0422
-16.19916909	-0.0401
-15.95462067	-0.0415
-15.55868531	-0.039
-15.10452376	-0.0367
-14.80008588	-0.0391
-14.6852975	-0.0367
-14.33427853	-0.0357
-13.97327845	-0.0361
-13.63390457	-0.035
-13.38769146	-0.0329
-12.8353786	-0.0326
-12.48103235	-0.0304
-12.30302724	-0.0316
-11.92871807	-0.0297
-11.70579657	-0.0285
-11.46457471	-0.0277
-11.02372154	-0.0306
-10.77584585	-0.027
-10.4231636	-0.026
-10.16031484	-0.0275
-9.773179728	-0.0239
-9.57188442	-0.0231
-9.318185475	-0.0231
-8.952194846	-0.0221
-8.666888598	-0.0229
-8.403207838	-0.0225
-8.221044164	-0.0201
-7.708657142	-0.0208
-7.456622187	-0.0206
-7.096453396	-0.0171
-6.869372622	-0.0185
-6.664750043	-0.0161
-6.281291062	-0.0156
-6.191456863	-0.0147
-5.687386954	-0.0156
-5.368808701	-0.0136
-5.283133058	-0.0138
-4.849766425	-0.0126
-4.536178014	-0.0112
-4.060389557	-0.0095
-3.868244069	-0.0083
-3.666116766	-0.0107
-3.35169778	-0.0085
-3.150402472	-0.0065
-2.712876572	-0.0075
-2.499104174	-0.0037
-2.212133935	-0.0055
-1.857787691	-0.0056
-1.663146926	-0.0036
-1.500114886	-0.0036
-1.160741008	-0.0025
-0.783104574	-0.0016
-0.708242742	0.0002
-0.719887837	-0.0036
-0.656671099	-0.0013
-0.759814384	-0.0013
-0.694934366	0.0018
-0.724879099	-0.0018
-0.645858	-0.0011
-0.761477665	-0.0026
-0.771459479	-0.0005
-0.78393657	-0.0016
-0.652512543	-0.0016
-0.790591113	-0.0011
-0.656671099	-0.0012
-0.795581665	-0.0026
-0.752327846	-0.0021
-0.750664565	-0.0021
-0.77312276	-0.0011
-0.714897285	-0.0002
-0.702420194	-0.0006
-0.694934366	-0.0005
-0.708242742	-0.001
-0.669980185	-0.0011
-0.744010022	-0.0021
-0.734028918	-0.0002
-0.665820918	-0.0026
-0.722383113	-0.0011
-0.699092923	-0.0008
-0.769796199	-0.002
