(lb)	(in)
-45.80849209	-0.1996
-45.84176196	-0.1991
-45.86505428	-0.198
-45.91828992	-0.2011
-45.82845359	-0.2001
-45.82845359	-0.1982
-45.89167032	-0.1985
-45.82512703	-0.1981
-45.85174307	-0.1999
-45.85174307	-0.2005
-45.86505428	-0.2002
-45.80516482	-0.1987
-45.82512703	-0.1989
-45.84508852	-0.199
-45.86505428	-0.1984
-45.84176196	-0.2004
-45.88834305	-0.2006
-45.83843469	-0.2001
-45.89167032	-0.1979
-45.80183755	-0.1997
-45.77854523	-0.2001
-45.73862152	-0.2004
-45.75525646	-0.1977
-45.46579023	-0.1986
-45.39924693	-0.1979
-45.2328862	-0.1964
-45.06652618	-0.1952
-44.9201312	-0.1947
-44.7304817	-0.1945
-44.56079441	-0.1946
-44.48759657	-0.1922
-44.37779874	-0.1917
-44.03177032	-0.1906
-43.77225025	-0.1906
-43.68906846	-0.1906
-43.47280292	-0.1872
-43.41624072	-0.1885
-43.25653382	-0.1886
-43.15338983	-0.1867
-42.99035636	-0.1866
-42.89719702	-0.1866
-42.74747194	-0.1844
-42.51124135	-0.1846
-42.4280624	-0.1839
-42.29830236	-0.1831
-42.13194234	-0.1821
-41.95892778	-0.1807
-41.71936991	-0.1805
-41.66613428	-0.1796
-41.59293715	-0.1795
-41.36668695	-0.1791
-41.31345203	-0.1772
-41.16705705	-0.1762
-40.89422576	-0.1766
-40.77444683	-0.1759
-40.64135952	-0.1747
-40.51492676	-0.1746
-40.3518933	-0.1744
-40.2387682	-0.1731
-40.08904667	-0.173
-39.86945101	-0.1731
-39.76631057	-0.1724
-39.58664217	-0.1721
-39.51011421	-0.1699
-39.33709965	-0.1705
-39.22397455	-0.1686
-39.07757958	-0.1676
-38.94449298	-0.1657
-38.73487772	-0.1665
-38.67831552	-0.1667
-38.42877655	-0.1645
-38.22581939	-0.164
-38.1326565	-0.1635
-38.01287756	-0.1635
-37.839863	-0.1617
-37.68016036	-0.1646
-37.57368909	-0.1616
-37.40067524	-0.1608
-37.2243334	-0.16
-37.07128104	-0.1597
-36.92821334	-0.1596
-36.77848755	-0.1577
-36.69863658	-0.1586
-36.52229475	-0.1552
-36.34595362	-0.1557
-36.25612084	-0.1543
-36.06979861	-0.1543
-35.96332805	-0.1536
-35.84354912	-0.1532
-35.67053456	-0.1528
-35.47090395	-0.1513
-35.2978901	-0.1516
-35.18143773	-0.1496
-34.9585148	-0.1491
-34.81877437	-0.1497
-34.62912487	-0.1478
-34.5792165	-0.1483
-34.30305794	-0.1485
-34.13004338	-0.1466
-34.02357282	-0.1466
-33.95370225	-0.1456
-33.74076398	-0.1462
-33.57107669	-0.1446
-33.51451378	-0.1435
-33.34815376	-0.1426
-33.24833632	-0.1426
-33.02541695	-0.1425
-32.83576461	-0.1405
-32.71931579	-0.1396
-32.58289837	-0.1405
-32.38659503	-0.1383
-32.24020006	-0.1385
-32.15369171	-0.1366
-31.8974982	-0.1363
-31.86755205	-0.1361
-31.74444584	-0.1346
-31.56477744	-0.1338
-31.48825304	-0.1341
-31.23871478	-0.1341
-31.13224352	-0.1337
-30.90599403	-0.1321
-30.79619549	-0.1297
-30.63982012	-0.1297
-30.52004119	-0.1291
-30.40691609	-0.1288
-30.24388263	-0.1267
-30.08084917	-0.127
-29.88454583	-0.1271
-29.74480469	-0.1271
-29.68158867	-0.1253
-29.46864684	-0.1237
-29.35884902	-0.1243
-29.16587224	-0.1246
-29.02945837	-0.1226
-28.81651655	-0.1226
-28.70672014	-0.1226
-28.64017542	-0.1202
-28.47048955	-0.1207
-28.34072809	-0.1205
-28.20431423	-0.1203
-28.02131856	-0.1181
-27.77510473	-0.1175
-27.84830399	-0.1167
-27.60541957	-0.116
-27.47233084	-0.1148
-27.29266244	-0.1166
-27.16622967	-0.1151
-26.95328927	-0.1127
-26.80023834	-0.1128
-26.60060631	-0.1123
-26.60393358	-0.112
-26.46086375	-0.1117
-26.21132478	-0.1106
-26.14478148	-0.1086
-25.98507671	-0.109
-25.79542579	-0.1088
-25.74219016	-0.1086
-25.50263229	-0.1066
-25.36954569	-0.1071
-25.14995146	-0.1073
-25.09006199	-0.1066
-24.8538314	-0.1051
-24.74736013	-0.1038
-24.6508721	-0.1019
-24.5277659	-0.1026
-24.38136951	-0.1016
-24.22166332	-0.1007
-24.01205018	-0.0987
-23.80576575	-0.0998
-23.74920284	-0.0982
-23.50964569	-0.0991
-23.41315552	-0.0979
-23.24346965	-0.0956
-23.12701799	-0.0971
-23.01389289	-0.0973
-22.80427976	-0.0953
-22.7011379	-0.0966
-22.60132046	-0.0946
-22.47156043	-0.0917
-22.24863821	-0.0921
-22.09558727	-0.0916
-21.99244541	-0.0906
-21.77285117	-0.0899
-21.69965191	-0.0887
-21.51998351	-0.0903
-21.38024095	-0.0879
-21.23051729	-0.0871
-21.11073836	-0.0866
-21.00426922	-0.0866
-20.74807429	-0.0856
-20.62164152	-0.0847
-20.48522552	-0.0829
-20.29224946	-0.0844
-20.04271049	-0.0827
-19.93228103	-0.0813
-19.72932244	-0.0806
-19.631169	-0.0792
-19.39826639	-0.0802
-19.27016821	-0.0806
-19.13874489	-0.0777
-18.9923485	-0.0778
-18.8559325	-0.0766
-18.71619207	-0.0763
-18.5099055	-0.0751
-18.34687204	-0.0746
-18.29197526	-0.0743
-18.07737015	-0.0742
-17.98088141	-0.0733
-17.82117664	-0.0726
-17.6464988	-0.0724
-17.57329953	-0.0711
-17.36202312	-0.0702
-17.17237362	-0.0687
-17.06590449	-0.0706
-16.94612413	-0.0683
-16.78309209	-0.0672
-16.54187095	-0.0671
-16.49861642	-0.0658
-16.36220255	-0.0654
-16.03114721	-0.0644
-15.94963012	-0.0656
-15.75332679	-0.0642
-15.62356533	-0.0617
-15.37402636	-0.0617
-15.2575747	-0.0603
-15.05794267	-0.0614
-14.92651936	-0.0592
-14.93650046	-0.0603
-14.66866114	-0.0583
-14.49564729	-0.0579
-14.40747708	-0.0561
-14.21949015	-0.0573
-14.17790103	-0.0559
-13.95165083	-0.0542
-13.84518099	-0.0548
-13.61061438	-0.0527
-13.48085364	-0.0533
-13.32780341	-0.0536
-13.22133215	-0.0523
-13.08824413	-0.0515
-12.95848409	-0.0505
-12.70395457	-0.051
-12.56920327	-0.0484
-12.43611525	-0.0477
-12.32631814	-0.047
-12.17825775	-0.0472
-11.99027153	-0.047
-11.82224823	-0.0452
-11.66254275	-0.0453
-11.5444271	-0.045
-11.34645977	-0.0445
-11.21170847	-0.0424
-11.11355574	-0.0435
-10.96216879	-0.0422
-10.72760148	-0.041
-10.65773091	-0.0417
-10.3549556	-0.0405
-10.25014975	-0.0385
-10.120389	-0.0385
-9.881313565	-0.0367
-9.744898986	-0.0365
-9.55940733	-0.0355
-9.450442208	-0.0349
-9.299054552	-0.0353
-9.17927562	-0.0345
-8.974653041	-0.033
-8.819938824	-0.0325
-8.669383874	-0.0313
-8.573726417	-0.0322
-8.317532906	-0.032
-8.18777287	-0.0277
-8.167809241	-0.03
-7.988140843	-0.0259
-7.838417178	-0.027
-7.652094237	-0.0265
-7.541465124	-0.0262
-7.446640373	-0.0265
-7.229540703	-0.0244
-7.069003939	-0.0239
-6.906803183	-0.025
-6.717152971	-0.0228
-6.639795862	-0.0217
-6.534989297	-0.0214
-6.317057632	-0.0214
-6.212251777	-0.0198
-6.066686668	-0.0203
-5.882859003	-0.0204
-5.682395691	-0.017
-5.592561492	-0.0168
-5.442006542	-0.0165
-5.255683601	-0.017
-5.120100307	-0.0158
-4.977031185	-0.0154
-4.867234068	-0.0154
-4.714183131	-0.015
-4.614367118	-0.0137
-4.395604168	-0.0115
-4.301610702	-0.0125
-4.152719743	-0.011
-3.975546621	-0.0093
-3.800868064	-0.0094
-3.722679671	-0.0067
-3.563806187	-0.0084
-3.402437427	-0.0094
-3.279331223	-0.0062
-3.110475925	-0.0055
-2.968238088	-0.005
-2.877572604	-0.0049
-2.678773283	-0.0052
-2.519899088	-0.0032
-2.385979785	-0.0014
-2.250396491	-0.0015
-2.063242265	-0.002
-2.023315718	-0.0009
-1.785421845	-0.0007
-1.641520727	0.0024
-1.530891614	0.0012
-1.540040723	0.0009
-1.521741795	0.0003
-1.594939637	0.001
-1.57996727	0.001
-1.604089456	0.0003
-1.574976718	0.0011
-1.539209438	-0.0005
-1.607416727	0.0015
-1.612407279	-0.0004
-1.581631261	0.0002
-1.551686528	-0.0005
-1.576639999	0
-1.629874922	0
-1.606584732	0.0007
-1.56749018	0.0002
-1.5550138	0.0019
-1.577471994	0.0014
-1.581631261	-0.0012
-1.591612365	0.0006
-1.57996727	0.0015
-1.604089456	-0.0007
-1.593276356	0.0016
-1.593276356	0.0019
-1.606584732	0.0005
-1.594107641	0.0009
-1.593276356	0
-1.587453809	0.0007
-1.640688732	-0.0005
-1.614902555	0.0014
-1.586621813	0.0019
-1.629043637	0.0024
-1.61407127	-0.0007
-1.566658895	-0.0003
-1.597434913	0.0019
-1.534218886	0.001
-1.588285094	0.0005
-1.594939637	0.0005
-1.589949085	0.001
-1.610743999	0.001
-1.566658895	0.0021
-1.625716365	-0.0008
-1.571649447	0.001
-1.569985456	0.0014
-1.545031985	-0.0005
-1.589949085	0.0005
-1.62488437	-0.0005
-1.614902555	-0.0005
-1.589117089	0.0022
-1.609080718	0.0002
-1.611575994	-0.0004
-1.546695266	-0.0002
-1.579135275	-0.0014
-1.599930899	0.0005
-1.599930899	-0.0002
-1.602426175	0.0012
-1.600762184	-0.0002
-1.606584732	0.0006
-1.57996727	0.0009
-1.597434913	-0.0014
-1.537545447	-0.0005
-1.581631261	0.0007
-1.597434913	0
-1.568322175	-0.0002
-1.636529465	-0.0012
-1.580799266	0.0012
-1.616566546	0.001
-1.604089456	0.0017
-1.587453809	0.001
-1.621557098	-0.0004
-1.584126537	0.0014
-1.609912003	0
-1.586621813	0.001
-1.618229827	0.0016
-1.609912003	-0.0008
-1.613239275	-0.0005
-1.57996727	0.0002
-1.591612365	0
-1.618229827	0.0012
-1.593276356	0.0015
-1.594107641	0.0012
-1.574144723	0.0014
-1.547527261	0.0006
-1.609912003	0.0005
