SI Load [lb]	SI Stroke [in]
-38.1015	-1.551
-35.4059	-1.5505
-36.4607	-1.552
-36.5779	-1.5497
-35.1715	-1.5513
-35.1715	-1.5512
-36.4607	-1.5504
-35.4059	-1.552
-35.6403	-1.5513
-34.5854	-1.5525
-35.4059	-1.5528
-36.3435	-1.5523
-38.4531	-1.5522
-37.2811	-1.5522
-34.2338	-1.5543
-39.508	-1.5532
-37.9843	-1.5535
-36.5779	-1.554
-39.2736	-1.5529
-37.1639	-1.5542
-38.922	-1.5537
-36.6951	-1.5538
-38.1015	-1.5532
-37.9843	-1.5555
-37.0467	-1.554
-38.1015	-1.5543
-37.3983	-1.5548
-37.1639	-1.5553
-37.9843	-1.5552
-38.3359	-1.556
-36.5779	-1.5553
-39.9768	-1.5567
-38.4531	-1.556
-37.3983	-1.556
-37.8671	-1.556
-38.2187	-1.5569
-39.0392	-1.5562
-36.5779	-1.5575
-38.3359	-1.5567
-41.6176	-1.5568
-38.1015	-1.5562
-37.5155	-1.5565
-36.9295	-1.5585
-37.2811	-1.5588
-38.8048	-1.5569
-38.5704	-1.5583
-40.094	-1.558
-37.8671	-1.558
-38.3359	-1.5588
-38.1015	-1.5587
-41.0316	-1.5593
-38.922	-1.559
-40.4456	-1.5589
-38.5704	-1.5593
-38.4531	-1.5595
-38.922	-1.5582
-38.6876	-1.5597
-38.922	-1.5595
-38.8048	-1.56
-37.6327	-1.5597
-39.7424	-1.5592
-40.5628	-1.5608
-38.1015	-1.5613
-39.6252	-1.5615
-40.7972	-1.5613
-38.6876	-1.5625
-38.4531	-1.5598
-38.8048	-1.5612
-40.094	-1.5628
-41.5004	-1.563
-41.8521	-1.563
-39.7424	-1.562
-40.9144	-1.5607
-39.2736	-1.562
-39.6252	-1.563
-41.266	-1.5635
-40.094	-1.5632
-39.1564	-1.5624
-42.0864	-1.5633
-40.094	-1.5629
-43.2585	-1.565
-41.5004	-1.5634
-41.8521	-1.5655
-40.7972	-1.5643
-40.4456	-1.5639
-41.8521	-1.565
-42.5553	-1.565
-40.9144	-1.5662
-41.6176	-1.5665
-40.7972	-1.5658
-41.6176	-1.5652
-41.8521	-1.5659
-40.3284	-1.5657
-40.4456	-1.5658
-40.3284	-1.5668
-41.0316	-1.566
-40.68	-1.5678
-40.7972	-1.567
-41.266	-1.5685
-44.8993	-1.567
