    	Node label->	           1	           4	           7	          10	          13	          16	          19	          22	          25	          28	          31	          34	          37	          40	          43	          46	          49	          52	          55	          58	          61	          64	          67	          70
    	Angle ->    	 6.39365e-09	 2.61804e-01	 5.23605e-01	 7.85398e-01	 1.04719e+00	 1.30899e+00	 1.57080e+00	 1.83260e+00	 2.09440e+00	 2.35619e+00	 2.61799e+00	 2.87979e+00	 3.14159e+00	 3.40340e+00	 3.66520e+00	 3.92699e+00	 4.18878e+00	 4.45058e+00	 4.71239e+00	 4.97419e+00	 5.23599e+00	 5.49779e+00	 5.75958e+00	 6.02138e+00
DOF 	DOF        
UR 1	5.000017e-01	 1.26889e-07	 4.25217e-04	 7.57287e-04	 1.01970e-03	 1.21560e-03	 1.31221e-03	 1.29997e-03	 1.17742e-03	 9.69647e-04	 7.17330e-04	 4.60364e-04	 2.21537e-04	 2.69296e-08	-2.21486e-04	-4.60306e-04	-7.17263e-04	-9.69558e-04	-1.17730e-03	-1.29980e-03	-1.31196e-03	-1.21524e-03	-1.01935e-03	-7.57022e-04	-4.25013e-04
UR 2	5.000017e-01	 5.37600e-08	-3.08920e-02	-1.16912e-02	 1.64553e-03	 4.31547e-03	 3.14295e-03	 1.96546e-03	 1.41013e-03	 1.13706e-03	 8.89059e-04	 6.07058e-04	 3.06224e-04	 1.12846e-07	-3.06162e-04	-6.07094e-04	-8.89115e-04	-1.13721e-03	-1.41020e-03	-1.96539e-03	-3.14294e-03	-4.31551e-03	-1.64549e-03	 1.16912e-02	 3.08920e-02
U  0	6.000007e-01	 0.00000e+00	 2.90643e-04	 9.47649e-04	 1.09677e-03	 8.09123e-04	 4.80984e-04	 2.60869e-04	 1.27009e-04	 4.31283e-05	-3.90768e-06	-2.03375e-05	-1.53785e-05	 1.97242e-09	 1.53770e-05	 2.03431e-05	 3.91021e-06	-4.31330e-05	-1.27016e-04	-2.60879e-04	-4.80989e-04	-8.09130e-04	-1.09678e-03	-9.47634e-04	-2.90649e-04
U  1	6.000007e-01	 4.80344e-03	 2.60652e-03	 7.14602e-04	 3.51311e-04	 4.77013e-04	 5.64812e-04	 5.70673e-04	 5.36469e-04	 4.79432e-04	 4.10360e-04	 3.45297e-04	 2.99868e-04	 2.83718e-04	 2.99884e-04	 3.45287e-04	 4.10355e-04	 4.79432e-04	 5.36472e-04	 5.70675e-04	 5.64815e-04	 4.77016e-04	 3.51312e-04	 7.14608e-04	 2.60649e-03
U  2	6.000007e-01	 9.44732e-03	 8.54030e-03	 6.17355e-03	 3.16045e-03	 3.14057e-04	-1.78963e-03	-2.86671e-03	-2.91209e-03	-2.14797e-03	-9.38573e-04	 3.06036e-04	 1.22023e-03	 1.55447e-03	 1.22025e-03	 3.06079e-04	-9.38521e-04	-2.14792e-03	-2.91205e-03	-2.86669e-03	-1.78961e-03	 3.14068e-04	 3.16045e-03	 6.17356e-03	 8.54030e-03
UR 0	6.000007e-01	-5.00303e-02	-4.68003e-02	-3.91963e-02	-2.99925e-02	-2.10153e-02	-1.32660e-02	-6.91832e-03	-1.59195e-03	 3.17925e-03	 7.56546e-03	 1.13163e-02	 1.39110e-02	 1.48448e-02	 1.39110e-02	 1.13163e-02	 7.56559e-03	 3.17947e-03	-1.59171e-03	-6.91814e-03	-1.32659e-02	-2.10153e-02	-2.99925e-02	-3.91963e-02	-4.68000e-02
UR 1	6.000007e-01	 2.97354e-08	 1.11665e-02	 1.90895e-02	 2.46910e-02	 2.83070e-02	 2.98069e-02	 2.89774e-02	 2.59116e-02	 2.11782e-02	 1.56268e-02	 1.00441e-02	 4.84890e-03	 1.40656e-07	-4.84862e-03	-1.00438e-02	-1.56266e-02	-2.11779e-02	-2.59114e-02	-2.89771e-02	-2.98066e-02	-2.83067e-02	-2.46908e-02	-1.90896e-02	-1.11665e-02
UR 2	6.000007e-01	 3.39281e-09	-3.56576e-02	-1.36765e-02	 1.54417e-03	 4.57918e-03	 3.29758e-03	 2.05919e-03	 1.51386e-03	 1.23736e-03	 9.49378e-04	 6.21464e-04	 3.00451e-04	 1.01926e-07	-3.00390e-04	-6.21536e-04	-9.49417e-04	-1.23751e-03	-1.51392e-03	-2.05912e-03	-3.29757e-03	-4.57931e-03	-1.54409e-03	 1.36767e-02	 3.56576e-02
U  0	7.000031e-01	 0.00000e+00	 2.97414e-04	 9.44802e-04	 1.05214e-03	 7.19406e-04	 3.68308e-04	 1.50026e-04	 3.60011e-05	-1.75467e-05	-3.29090e-05	-2.63638e-05	-1.28887e-05	 8.00099e-09	 1.28989e-05	 2.63785e-05	 3.29188e-05	 1.75487e-05	-3.60047e-05	-1.50035e-04	-3.68320e-04	-7.19412e-04	-1.05216e-03	-9.44790e-04	-2.97420e-04
U  1	7.000031e-01	 5.60249e-03	 3.23675e-03	 1.08067e-03	 4.95495e-04	 4.69041e-04	 4.78728e-04	 4.63460e-04	 4.35275e-04	 3.87863e-04	 3.23490e-04	 2.59629e-04	 2.14587e-04	 1.98652e-04	 2.14603e-04	 2.59622e-04	 3.23495e-04	 3.87873e-04	 4.35287e-04	 4.63472e-04	 4.78739e-04	 4.69050e-04	 4.95507e-04	 1.08068e-03	 3.23672e-03
U  2	7.000031e-01	 1.93848e-02	 1.75778e-02	 1.28771e-02	 6.90845e-03	 1.27175e-03	-2.92444e-03	-5.14881e-03	-5.40524e-03	-4.12173e-03	-1.98418e-03	 2.44336e-04	 1.88900e-03	 2.49130e-03	 1.88902e-03	 2.44385e-04	-1.98414e-03	-4.12164e-03	-5.40515e-03	-5.14873e-03	-2.92437e-03	 1.27186e-03	 6.90863e-03	 1.28772e-02	 1.75779e-02
UR 0	7.000031e-01	-9.98040e-02	-9.33269e-02	-7.81941e-02	-5.99721e-02	-4.24264e-02	-2.74220e-02	-1.53270e-02	-5.30230e-03	 3.61149e-03	 1.17884e-02	 1.88007e-02	 2.36555e-02	 2.54030e-02	 2.36555e-02	 1.88004e-02	 1.17884e-02	 3.61138e-03	-5.30233e-03	-1.53270e-02	-2.74223e-02	-4.24269e-02	-5.99727e-02	-7.81944e-02	-9.33271e-02
UR 1	7.000031e-01	 2.82562e-07	 2.22711e-02	 3.77052e-02	 4.82973e-02	 5.49245e-02	 5.74699e-02	 5.55762e-02	 4.94464e-02	 4.02206e-02	 2.95494e-02	 1.89213e-02	 9.10963e-03	 8.94535e-08	-9.10951e-03	-1.89211e-02	-2.95491e-02	-4.02200e-02	-4.94461e-02	-5.55761e-02	-5.74691e-02	-5.49239e-02	-4.82966e-02	-3.77042e-02	-2.22708e-02
UR 2	7.000031e-01	-5.73577e-08	-3.74681e-02	-1.49538e-02	 5.29002e-04	 3.62710e-03	 2.52645e-03	 1.58417e-03	 1.28347e-03	 1.10592e-03	 8.06304e-04	 4.59809e-04	 1.87851e-04	 1.13521e-07	-1.87852e-04	-4.59925e-04	-8.06388e-04	-1.10607e-03	-1.28359e-03	-1.58411e-03	-2.52644e-03	-3.62722e-03	-5.28923e-04	 1.49540e-02	 3.74682e-02
U  0	8.000021e-01	 0.00000e+00	 3.00522e-04	 9.32310e-04	 1.00154e-03	 6.34642e-04	 2.69932e-04	 5.74463e-05	-3.78411e-05	-6.56040e-05	-5.50790e-05	-3.03245e-05	-1.04194e-05	 1.92523e-08	 1.04514e-05	 3.03596e-05	 5.51068e-05	 6.56145e-05	 3.78382e-05	-5.74532e-05	-2.69945e-04	-6.34659e-04	-1.00157e-03	-9.32306e-04	-3.00533e-04
U  1	8.000021e-01	 6.40150e-03	 3.88669e-03	 1.47553e-03	 6.59858e-04	 4.69876e-04	 3.93482e-04	 3.52323e-04	 3.28668e-04	 2.93026e-04	 2.38181e-04	 1.80791e-04	 1.40148e-04	 1.25968e-04	 1.40174e-04	 1.80797e-04	 2.38202e-04	 2.93054e-04	 3.28703e-04	 3.52361e-04	 3.93519e-04	 4.69908e-04	 6.59892e-04	 1.47557e-03	 3.88670e-03
U  2	8.000021e-01	 2.64511e-02	 2.40492e-02	 1.78121e-02	 9.90879e-03	 2.44195e-03	-3.15493e-03	-6.21028e-03	-6.74052e-03	-5.29997e-03	-2.75653e-03	-6.73349e-05	 1.92738e-03	 2.65918e-03	 1.92736e-03	-6.73861e-05	-2.75665e-03	-5.29994e-03	-6.74033e-03	-6.21017e-03	-3.15472e-03	 2.44224e-03	 9.90908e-03	 1.78124e-02	 2.40494e-02
UR 0	8.000021e-01	-1.33306e-01	-1.24590e-01	-1.04235e-01	-8.02427e-02	-5.72179e-02	-3.77462e-02	-2.22181e-02	-9.48397e-03	 1.75237e-03	 1.20434e-02	 2.08824e-02	 2.70058e-02	 2.92118e-02	 2.70054e-02	 2.08819e-02	 1.20428e-02	 1.75154e-03	-9.48488e-03	-2.22188e-02	-3.77469e-02	-5.72190e-02	-8.02443e-02	-1.04235e-01	-1.24591e-01
UR 1	8.000021e-01	 8.67105e-07	 2.95839e-02	 4.96545e-02	 6.31295e-02	 7.13571e-02	 7.43215e-02	 7.15677e-02	 6.34167e-02	 5.13828e-02	 3.76018e-02	 2.39947e-02	 1.15237e-02	-2.31026e-07	-1.15242e-02	-2.39946e-02	-3.76023e-02	-5.13816e-02	-6.34161e-02	-7.15655e-02	-7.43191e-02	-7.13551e-02	-6.31272e-02	-4.96536e-02	-2.95827e-02
UR 2	8.000021e-01	-2.29155e-07	-3.89568e-02	-1.61931e-02	-6.19568e-04	 2.53401e-03	 1.66675e-03	 1.05014e-03	 1.01028e-03	 9.47632e-04	 6.61079e-04	 3.15607e-04	 8.73148e-05	 7.58589e-08	-8.74066e-05	-3.15794e-04	-6.61260e-04	-9.47880e-04	-1.01046e-03	-1.05004e-03	-1.66709e-03	-2.53430e-03	 6.19603e-04	 1.61933e-02	 3.89568e-02
U  0	9.000010e-01	 0.00000e+00	 3.01204e-04	 9.14313e-04	 9.49406e-04	 5.56324e-04	 1.84733e-04	-1.92672e-05	-9.75034e-05	-1.03732e-04	-7.21125e-05	-3.26714e-05	-8.01992e-06	 2.79557e-08	 8.06846e-06	 3.27199e-05	 7.21506e-05	 1.03749e-04	 9.74976e-05	 1.92640e-05	-1.84754e-04	-5.56339e-04	-9.49424e-04	-9.14306e-04	-3.01210e-04
U  1	9.000010e-01	 7.20052e-03	 4.55117e-03	 1.89246e-03	 8.42421e-04	 4.82834e-04	 3.15313e-04	 2.44532e-04	 2.23543e-04	 2.00110e-04	 1.57180e-04	 1.09360e-04	 7.49425e-05	 6.29915e-05	 7.49709e-05	 1.09382e-04	 1.57219e-04	 2.00160e-04	 2.23594e-04	 2.44588e-04	 3.15356e-04	 4.82870e-04	 8.42446e-04	 1.89246e-03	 4.55113e-03
U  2	9.000010e-01	 3.24114e-02	 2.95363e-02	 2.20754e-02	 1.26385e-02	 3.71513e-03	-3.01586e-03	-6.78119e-03	-7.61265e-03	-6.15738e-03	-3.40918e-03	-4.59344e-04	 1.74040e-03	 2.54891e-03	 1.74040e-03	-4.59377e-04	-3.40921e-03	-6.15732e-03	-7.61221e-03	-6.78130e-03	-3.01584e-03	 3.71536e-03	 1.26383e-02	 2.20760e-02	 2.95350e-02
