    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71	          73	          75	          77	          79
    	Angle ->    	 2.18771e-06	 1.57078e-01	 3.14156e-01	 4.71251e-01	 6.28322e-01	 7.85400e-01	 9.42479e-01	 1.09955e+00	 1.25664e+00	 1.41372e+00	 1.57080e+00	 1.72787e+00	 1.88495e+00	 2.04205e+00	 2.19912e+00	 2.35620e+00	 2.51328e+00	 2.67035e+00	 2.82744e+00	 2.98452e+00	 3.14159e+00	 3.29867e+00	 3.45575e+00	 3.61284e+00	 3.76991e+00	 3.92699e+00	 4.08407e+00	 4.24114e+00	 4.39824e+00	 4.55532e+00	 4.71239e+00	 4.86947e+00	 5.02655e+00	 5.18364e+00	 5.34071e+00	 5.49779e+00	 5.65487e+00	 5.81194e+00	 5.96903e+00	 6.12611e+00
DOF 	DOF        
U  1	3.000033e-01	 2.50455e-03	 1.61744e-03	 5.67967e-04	 9.96540e-05	 4.63663e-05	 1.26699e-04	 1.99008e-04	 2.35091e-04	 2.46759e-04	 2.46379e-04	 2.39166e-04	 2.26549e-04	 2.09477e-04	 1.89401e-04	 1.68021e-04	 1.46942e-04	 1.27634e-04	 1.11228e-04	 9.87874e-05	 9.10210e-05	 8.83548e-05	 9.10272e-05	 9.87728e-05	 1.11226e-04	 1.27625e-04	 1.46929e-04	 1.68015e-04	 1.89388e-04	 2.09462e-04	 2.26535e-04	 2.39153e-04	 2.46368e-04	 2.46745e-04	 2.35081e-04	 1.98994e-04	 1.26689e-04	 4.63492e-05	 9.96430e-05	 5.67963e-04	 1.61742e-03
U  2	3.000033e-01	-4.34653e-06	-4.20346e-06	-3.65311e-06	-2.11146e-06	-1.42306e-07	 1.62093e-06	 2.72287e-06	 2.78540e-06	 1.65989e-06	-5.09358e-07	-3.28599e-06	-6.02910e-06	-8.04615e-06	-8.77054e-06	-7.90139e-06	-5.48687e-06	-1.93127e-06	 2.08735e-06	 5.76248e-06	 8.33347e-06	 9.26469e-06	 8.36209e-06	 5.81392e-06	 2.15158e-06	-1.86655e-06	-5.43455e-06	-7.87085e-06	-8.76544e-06	-8.06460e-06	-6.06447e-06	-3.32939e-06	-5.51141e-07	 1.62831e-06	 2.77045e-06	 2.72739e-06	 1.64286e-06	-1.08988e-07	-2.07531e-06	-3.62307e-06	-4.18644e-06
UR 0	3.000033e-01	-4.44022e-04	-3.96838e-04	-3.05301e-04	-2.26442e-04	-1.64936e-04	-1.21926e-04	-9.60961e-05	-8.13121e-05	-7.32409e-05	-6.76652e-05	-6.09721e-05	-5.04585e-05	-3.52569e-05	-1.55206e-05	 7.53687e-06	 3.20482e-05	 5.58158e-05	 7.67281e-05	 9.29702e-05	 1.03224e-04	 1.06784e-04	 1.03377e-04	 9.32755e-05	 7.71731e-05	 5.63629e-05	 3.26336e-05	 8.09399e-06	-1.50413e-05	-3.48945e-05	-5.02449e-05	-6.09029e-05	-6.77272e-05	-7.34080e-05	-8.15667e-05	-9.64207e-05	-1.22257e-04	-1.65237e-04	-2.26644e-04	-3.05426e-04	-3.96925e-04
UR 1	3.000033e-01	 1.86326e-07	-6.24651e-05	-1.19999e-04	-1.59833e-04	-1.71048e-04	-1.67261e-04	-1.55086e-04	-1.34871e-04	-1.08934e-04	-7.96031e-05	-4.89634e-05	-1.84613e-05	 9.47961e-06	 3.29275e-05	 5.03032e-05	 6.02867e-05	 6.20799e-05	 5.56618e-05	 4.19025e-05	 2.26007e-05	 3.13300e-07	-2.20066e-05	-4.13939e-05	-5.52670e-05	-6.18438e-05	-6.02363e-05	-5.04230e-05	-3.31700e-05	-9.78310e-06	 1.80755e-05	 4.85016e-05	 7.91533e-05	 1.08494e-04	 1.34493e-04	 1.54839e-04	 1.67146e-04	 1.71075e-04	 1.59971e-04	 1.20256e-04	 6.28102e-05
UR 2	3.000033e-01	 8.71233e-08	-2.57283e-02	-1.72625e-02	-5.07603e-03	 1.34369e-03	 2.82255e-03	 2.24460e-03	 1.43201e-03	 9.58725e-04	 7.82427e-04	 7.31514e-04	 6.95798e-04	 6.39617e-04	 5.65453e-04	 4.84097e-04	 4.00994e-04	 3.19063e-04	 2.38987e-04	 1.59122e-04	 7.93661e-05	 4.24325e-08	-7.93482e-05	-1.58983e-04	-2.39116e-04	-3.19028e-04	-4.00988e-04	-4.84053e-04	-5.65445e-04	-6.39678e-04	-6.95740e-04	-7.31412e-04	-7.82216e-04	-9.58655e-04	-1.43202e-03	-2.24454e-03	-2.82274e-03	-1.34364e-03	 5.07605e-03	 1.72625e-02	 2.57284e-02
U  0	4.000000e-01	 0.00000e+00	 8.27090e-05	 3.76403e-04	 6.05787e-04	 6.28318e-04	 5.18204e-04	 3.86168e-04	 2.84334e-04	 2.14073e-04	 1.60671e-04	 1.13846e-04	 7.11743e-05	 3.42150e-05	 4.91322e-06	-1.58222e-05	-2.81083e-05	-3.26563e-05	-3.06454e-05	-2.34290e-05	-1.26275e-05	-5.68372e-10	 1.26254e-05	 2.34301e-05	 3.06397e-05	 3.26498e-05	 2.81073e-05	 1.58131e-05	-4.91271e-06	-3.42050e-05	-7.11752e-05	-1.13848e-04	-1.60671e-04	-2.14075e-04	-2.84316e-04	-3.86155e-04	-5.18185e-04	-6.28301e-04	-6.05774e-04	-3.76386e-04	-8.27071e-05
U  1	4.000000e-01	 3.33867e-03	 2.15486e-03	 7.52543e-04	 1.27080e-04	 5.60364e-05	 1.63000e-04	 2.59059e-04	 3.06846e-04	 3.22278e-04	 3.21898e-04	 3.12622e-04	 2.96301e-04	 2.74153e-04	 2.48063e-04	 2.20262e-04	 1.92838e-04	 1.67712e-04	 1.46366e-04	 1.30173e-04	 1.20055e-04	 1.16590e-04	 1.20058e-04	 1.30154e-04	 1.46361e-04	 1.67707e-04	 1.92829e-04	 2.20258e-04	 2.48051e-04	 2.74138e-04	 2.96288e-04	 3.12610e-04	 3.21886e-04	 3.22264e-04	 3.06840e-04	 2.59048e-04	 1.62998e-04	 5.60274e-05	 1.27068e-04	 7.52539e-04	 2.15484e-03
U  2	4.000000e-01	-1.61376e-05	-1.51978e-05	-1.23123e-05	-6.94413e-06	-7.08488e-07	 4.78416e-06	 8.45453e-06	 9.54223e-06	 7.83655e-06	 3.73590e-06	-1.80765e-06	-7.49430e-06	-1.19721e-05	-1.41524e-05	-1.34556e-05	-9.94369e-06	-4.31889e-06	 2.23471e-06	 8.30997e-06	 1.25836e-05	 1.41254e-05	 1.26004e-05	 8.33924e-06	 2.26873e-06	-4.28914e-06	-9.92691e-06	-1.34566e-05	-1.41707e-05	-1.20028e-05	-7.53034e-06	-1.84280e-06	 3.70608e-06	 7.81414e-06	 9.52816e-06	 8.44794e-06	 4.78269e-06	-7.07533e-07	-6.94325e-06	-1.23124e-05	-1.51980e-05
UR 0	4.000000e-01	-5.19984e-04	-4.58371e-04	-3.42953e-04	-2.52981e-04	-1.88416e-04	-1.48478e-04	-1.31917e-04	-1.27953e-04	-1.29426e-04	-1.29782e-04	-1.23838e-04	-1.08326e-04	-8.27540e-05	-4.83905e-05	-8.06764e-06	 3.45454e-05	 7.55164e-05	 1.11268e-04	 1.38821e-04	 1.56093e-04	 1.62034e-04	 1.56219e-04	 1.39058e-04	 1.11604e-04	 7.59104e-05	 3.49365e-05	-7.74595e-06	-4.81691e-05	-8.26482e-05	-1.08334e-04	-1.23911e-04	-1.29866e-04	-1.29477e-04	-1.27943e-04	-1.31829e-04	-1.48277e-04	-1.88186e-04	-2.52583e-04	-3.42606e-04	-4.58274e-04
UR 1	4.000000e-01	-1.95776e-09	-1.02240e-04	-2.01572e-04	-2.73973e-04	-2.96355e-04	-2.91152e-04	-2.71019e-04	-2.36499e-04	-1.91660e-04	-1.40473e-04	-8.65588e-05	-3.28827e-05	 1.65587e-05	 5.82883e-05	 8.93488e-05	 1.07252e-04	 1.10533e-04	 9.91097e-05	 7.45349e-05	 4.00337e-05	 1.85665e-07	-3.96855e-05	-7.42590e-05	-9.89268e-05	-1.10481e-04	-1.07346e-04	-8.95617e-05	-5.85668e-05	-1.68462e-05	 3.25497e-05	 8.61846e-05	 1.40096e-04	 1.91257e-04	 2.36093e-04	 2.70657e-04	 2.90837e-04	 2.96150e-04	 2.73791e-04	 2.01471e-04	 1.02220e-04
