,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_height,rim_perturb,rim_profile,rim_radius,rim_shear_mod,rim_thick,rim_width,rim_young_mod,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_offset,spk_paired,spk_young_mod,wheel_pickle
Klat_offset_0.010_Tn_0.15,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.15,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,1250.7636000000002,0.15000000000000002,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.15.pkl
Klat_offset_0.010_Tn_0.20,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.20,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,1667.6848000000002,0.2,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.20.pkl
Klat_offset_0.010_Tn_0.25,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.25,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,2084.606,0.25,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.25.pkl
Klat_offset_0.010_Tn_0.30,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.30,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,2501.5272000000004,0.30000000000000004,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.30.pkl
Klat_offset_0.010_Tn_0.35,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.35,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,2918.4484000000007,0.35000000000000003,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.35.pkl
Klat_offset_0.010_Tn_0.40,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.40,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,3335.3696000000004,0.4,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.40.pkl
Klat_offset_0.010_Tn_0.45,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.45,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,3752.2908000000007,0.45,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.45.pkl
Klat_offset_0.010_Tn_0.50,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.50,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,4169.212,0.5,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.50.pkl
Klat_offset_0.010_Tn_0.55,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.55,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,4586.133200000001,0.55,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.55.pkl
Klat_offset_0.010_Tn_0.60,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.60,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,5003.054400000001,0.6000000000000001,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.60.pkl
Klat_offset_0.010_Tn_0.65,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.65,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,5419.975600000001,0.65,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.65.pkl
Klat_offset_0.010_Tn_0.70,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.70,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,5836.896800000001,0.7000000000000001,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.70.pkl
Klat_offset_0.010_Tn_0.75,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.75,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,6253.818000000001,0.75,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.75.pkl
Klat_offset_0.010_Tn_0.80,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.80,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,6670.739200000001,0.8,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.80.pkl
Klat_offset_0.010_Tn_0.85,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.85,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,7087.660400000002,0.8500000000000001,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.85.pkl
Klat_offset_0.010_Tn_0.90,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.90,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,7504.581600000001,0.9,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.90.pkl
